handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
titanic,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
castlewellan-lake,Product,Castlewellan Lake,"Castlewellan Lake is a beautiful piece of Clare Smith's collection, with original artwork has been sold. High-quality prints available in A4 and A3.",86cb05_06cc7dcf87264b09b36a36f3502e9131~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
castlewellan-lake,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
castlewellan-lake,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city-hall,Product,City Hall,"City Hall is a beautiful piece of Clare Smith's collection, with original artwork has been sold. High-quality prints available in A4 and A3.",86cb05_22301bd536d449c9af921677c1a427bd~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city-hall,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city-hall,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ballintoy-blues,Product,Ballintoy Blues,"Ballintoy Blues is a beautiful piece of Clare Smith's collection, with available by email or at St George's Market. High-quality prints available in A4 and A3.",86cb05_f0630e081757491a81fc7b0c2a5cc48f~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ballintoy-blues,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ballintoy-blues,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunset-bliss,Product,Sunset Bliss,"Sunset Bliss is a beautiful piece of Clare Smith's collection, with original artwork has been sold. High-quality prints available in A4 and A3.",86cb05_eb7eeacf106a4e888a8bf3394a573ffa~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunset-bliss,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunset-bliss,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackhead-lighthouse,Product,Blackhead Lighthouse,"Blackhead Lighthouse is a beautiful piece of Clare Smith's collection, with original artwork has been sold. High-quality prints available in A4 and A3.",86cb05_f977f596b7f941808959dc14be90b081~mv2.jpg,Fine Art Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackhead-lighthouse,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackhead-lighthouse,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
